,drug_a_name,drug_b_name,cell_line,synergy,fold
5-FU_ABT-888_A2058,5-FU,ABT-888,A2058,7.6935301658,2
5-FU_ABT-888_A2780,5-FU,ABT-888,A2780,7.7780530601,2
5-FU_ABT-888_A375,5-FU,ABT-888,A375,-1.1985054379,2
5-FU_ABT-888_A427,5-FU,ABT-888,A427,2.5956844375,2
5-FU_ABT-888_CAOV3,5-FU,ABT-888,CAOV3,-5.1399712212,2
5-FU_ABT-888_COLO320DM,5-FU,ABT-888,COLO320DM,4.1759364346,2
5-FU_ABT-888_DLD1,5-FU,ABT-888,DLD1,1.9351271188,2
5-FU_ABT-888_EFM192B,5-FU,ABT-888,EFM192B,-5.0898528562,2
5-FU_ABT-888_ES2,5-FU,ABT-888,ES2,1.4986504517,2
5-FU_ABT-888_HCT116,5-FU,ABT-888,HCT116,9.4632808694,2
5-FU_ABT-888_HT144,5-FU,ABT-888,HT144,-3.7013547459,2
5-FU_ABT-888_HT29,5-FU,ABT-888,HT29,10.1734339084,2
5-FU_ABT-888_KPL1,5-FU,ABT-888,KPL1,2.1570044282,2
5-FU_ABT-888_LNCAP,5-FU,ABT-888,LNCAP,1.6326315853,2
5-FU_ABT-888_LOVO,5-FU,ABT-888,LOVO,-8.9792139458,2
5-FU_ABT-888_MDAMB436,5-FU,ABT-888,MDAMB436,6.8992599953,2
5-FU_ABT-888_MSTO,5-FU,ABT-888,MSTO,-1.7930738645,2
5-FU_ABT-888_NCIH1650,5-FU,ABT-888,NCIH1650,-5.9963702965,2
5-FU_ABT-888_NCIH2122,5-FU,ABT-888,NCIH2122,7.8902568144,2
5-FU_ABT-888_NCIH23,5-FU,ABT-888,NCIH23,-5.0426523057,2
5-FU_ABT-888_NCIH460,5-FU,ABT-888,NCIH460,-6.6119479166,2
5-FU_ABT-888_NCIH520,5-FU,ABT-888,NCIH520,3.6988348484,2
5-FU_ABT-888_OCUBM,5-FU,ABT-888,OCUBM,3.9321484531,2
5-FU_ABT-888_OV90,5-FU,ABT-888,OV90,-10.0688476137,2
5-FU_ABT-888_OVCAR3,5-FU,ABT-888,OVCAR3,17.637032868,2
5-FU_ABT-888_PA1,5-FU,ABT-888,PA1,5.6864884514,2
5-FU_ABT-888_RKO,5-FU,ABT-888,RKO,-2.6775877856,2
5-FU_ABT-888_RPMI7951,5-FU,ABT-888,RPMI7951,-2.1732219296,2
5-FU_ABT-888_SKMEL30,5-FU,ABT-888,SKMEL30,-36.4592295758,2
5-FU_ABT-888_SKMES1,5-FU,ABT-888,SKMES1,-0.0864245794,2
5-FU_ABT-888_SKOV3,5-FU,ABT-888,SKOV3,5.0771773842,2
5-FU_ABT-888_SW620,5-FU,ABT-888,SW620,0.1081077187,2
5-FU_ABT-888_SW837,5-FU,ABT-888,SW837,-14.5231086273,2
5-FU_ABT-888_T47D,5-FU,ABT-888,T47D,17.4857954498,2
5-FU_ABT-888_UACC62,5-FU,ABT-888,UACC62,-1.5839637825,2
5-FU_ABT-888_UWB1289BRCA1,5-FU,ABT-888,UWB1289BRCA1,6.5772638315,2
5-FU_ABT-888_UWB1289,5-FU,ABT-888,UWB1289,12.1947974084,2
5-FU_ABT-888_VCAP,5-FU,ABT-888,VCAP,1.0961027615,2
5-FU_ABT-888_ZR751,5-FU,ABT-888,ZR751,-8.6753170435,2
5-FU_AZD1775_A2058,5-FU,AZD1775,A2058,13.0526874408,1
5-FU_AZD1775_A2780,5-FU,AZD1775,A2780,11.2772729471,1
5-FU_AZD1775_A375,5-FU,AZD1775,A375,2.7051275464,1
5-FU_AZD1775_A427,5-FU,AZD1775,A427,7.4940610975,1
5-FU_AZD1775_CAOV3,5-FU,AZD1775,CAOV3,23.9861795387,1
5-FU_AZD1775_COLO320DM,5-FU,AZD1775,COLO320DM,9.3986845957,1
5-FU_AZD1775_DLD1,5-FU,AZD1775,DLD1,9.8201244067,1
5-FU_AZD1775_EFM192B,5-FU,AZD1775,EFM192B,2.9248207557,1
5-FU_AZD1775_ES2,5-FU,AZD1775,ES2,10.0575260869,1
5-FU_AZD1775_HCT116,5-FU,AZD1775,HCT116,13.9612713843,1
5-FU_AZD1775_HT144,5-FU,AZD1775,HT144,6.0653890015,1
5-FU_AZD1775_HT29,5-FU,AZD1775,HT29,-2.712205241,1
5-FU_AZD1775_KPL1,5-FU,AZD1775,KPL1,-2.0611613488,1
5-FU_AZD1775_LNCAP,5-FU,AZD1775,LNCAP,9.9703894066,1
5-FU_AZD1775_LOVO,5-FU,AZD1775,LOVO,-4.0015073281,1
5-FU_AZD1775_MDAMB436,5-FU,AZD1775,MDAMB436,23.3811341972,1
5-FU_AZD1775_MSTO,5-FU,AZD1775,MSTO,-32.9906191851,1
5-FU_AZD1775_NCIH1650,5-FU,AZD1775,NCIH1650,10.773397668,1
5-FU_AZD1775_NCIH2122,5-FU,AZD1775,NCIH2122,4.3178885654,1
5-FU_AZD1775_NCIH23,5-FU,AZD1775,NCIH23,-7.1158991851,1
5-FU_AZD1775_NCIH460,5-FU,AZD1775,NCIH460,13.5826976918,1
5-FU_AZD1775_NCIH520,5-FU,AZD1775,NCIH520,2.5787085802,1
5-FU_AZD1775_OCUBM,5-FU,AZD1775,OCUBM,33.5929258791,1
5-FU_AZD1775_OV90,5-FU,AZD1775,OV90,-3.1936519467,1
5-FU_AZD1775_OVCAR3,5-FU,AZD1775,OVCAR3,12.2336919622,1
5-FU_AZD1775_PA1,5-FU,AZD1775,PA1,25.0726247672,1
5-FU_AZD1775_RKO,5-FU,AZD1775,RKO,19.3332015124,1
5-FU_AZD1775_RPMI7951,5-FU,AZD1775,RPMI7951,16.722015116,1
5-FU_AZD1775_SKMEL30,5-FU,AZD1775,SKMEL30,2.2887188875,1
5-FU_AZD1775_SKMES1,5-FU,AZD1775,SKMES1,33.3532583969,1
5-FU_AZD1775_SKOV3,5-FU,AZD1775,SKOV3,18.7449639444,1
5-FU_AZD1775_SW620,5-FU,AZD1775,SW620,8.0516725326,1
5-FU_AZD1775_SW837,5-FU,AZD1775,SW837,2.5778554159,1
5-FU_AZD1775_T47D,5-FU,AZD1775,T47D,10.0383629005,1
5-FU_AZD1775_UACC62,5-FU,AZD1775,UACC62,11.4593505287,1
5-FU_AZD1775_UWB1289BRCA1,5-FU,AZD1775,UWB1289BRCA1,6.2221139781,1
5-FU_AZD1775_UWB1289,5-FU,AZD1775,UWB1289,70.1581688167,1
5-FU_AZD1775_VCAP,5-FU,AZD1775,VCAP,-0.9983275325,1
5-FU_AZD1775_ZR751,5-FU,AZD1775,ZR751,0.423932097,1
5-FU_BEZ-235_A2058,5-FU,BEZ-235,A2058,13.6791116022,1
5-FU_BEZ-235_A2780,5-FU,BEZ-235,A2780,3.9332239081,1
5-FU_BEZ-235_A375,5-FU,BEZ-235,A375,3.2905479611,1
5-FU_BEZ-235_A427,5-FU,BEZ-235,A427,8.8428112257,1
5-FU_BEZ-235_CAOV3,5-FU,BEZ-235,CAOV3,4.4325063513,1
5-FU_BEZ-235_COLO320DM,5-FU,BEZ-235,COLO320DM,15.6281477403,1
5-FU_BEZ-235_DLD1,5-FU,BEZ-235,DLD1,13.0355787543,1
5-FU_BEZ-235_EFM192B,5-FU,BEZ-235,EFM192B,9.660318047,1
5-FU_BEZ-235_ES2,5-FU,BEZ-235,ES2,2.4774290291,1
5-FU_BEZ-235_HCT116,5-FU,BEZ-235,HCT116,2.7457843603,1
5-FU_BEZ-235_HT144,5-FU,BEZ-235,HT144,2.3230897887,1
5-FU_BEZ-235_HT29,5-FU,BEZ-235,HT29,11.8958027211,1
5-FU_BEZ-235_KPL1,5-FU,BEZ-235,KPL1,16.462849087,1
5-FU_BEZ-235_LNCAP,5-FU,BEZ-235,LNCAP,55.291299337,1
5-FU_BEZ-235_LOVO,5-FU,BEZ-235,LOVO,0.0497243445,1
5-FU_BEZ-235_MDAMB436,5-FU,BEZ-235,MDAMB436,18.9742923554,1
5-FU_BEZ-235_MSTO,5-FU,BEZ-235,MSTO,-8.3211162122,1
5-FU_BEZ-235_NCIH1650,5-FU,BEZ-235,NCIH1650,17.6381552118,1
5-FU_BEZ-235_NCIH2122,5-FU,BEZ-235,NCIH2122,7.6972734841,1
5-FU_BEZ-235_NCIH23,5-FU,BEZ-235,NCIH23,4.9902197108,1
5-FU_BEZ-235_NCIH460,5-FU,BEZ-235,NCIH460,20.1004137353,1
5-FU_BEZ-235_NCIH520,5-FU,BEZ-235,NCIH520,16.7217972261,1
5-FU_BEZ-235_OCUBM,5-FU,BEZ-235,OCUBM,16.3880555937,1
5-FU_BEZ-235_OV90,5-FU,BEZ-235,OV90,17.5470785652,1
5-FU_BEZ-235_OVCAR3,5-FU,BEZ-235,OVCAR3,17.1196123484,1
5-FU_BEZ-235_PA1,5-FU,BEZ-235,PA1,21.5623867189,1
